Lunar_Day,Count
1,10781
2,10734
3,10871
4,10890
5,10669
6,10791
7,10982
8,10642
9,10611
10,10886
11,10646
12,10941
13,10791
14,10784
15,10708
16,10501
17,10696
18,10732
19,10630
20,10753
21,11099
22,10478
23,10730
24,10731
25,10725
26,10632
27,10778
28,10913
29,10759
30,5622
